environment_score_start,social_score_start,governance_score_start,total_score_start,Annual_Return,environment_cluster,governance_cluster,social_cluster,total_cluster,Annual_Return_Cluster
1.69,11.13,7.32,20.17,0.3059674903630617,0,0,0,0,2
1.69,11.41,7.72,20.81,0.380115359,0,0,0,0,2
1.34,10.79,7.54,19.67,0.3173534192360653,0,0,0,0,2
0.93,9.33,6.71,16.98,-0.18510152,0,0,0,0,0
14.41,10.3,7.48,32.17,0.3263917903310241,0,0,0,0,2
13.32,9.8,7.06,30.19,0.1172157209490098,0,0,0,0,1
10.33,8.6,6.54,25.47,0.076100901,0,0,0,0,1
9.48,8.44,6.17,24.09,-0.247485889,0,0,0,0,0
700,358,300,1358,0.1485647396821032,2,2,2,2,1
0.16,18.63,6.95,25.73,-0.260972033,0,0,0,0,0
19.08,12,7.86,38.87,0.3422926887232856,0,0,0,0,2
13.66,12.21,6.8,32.67,-0.159148702,0,0,0,0,0
11.07,11.59,5.97,28.65,0.087476129,0,0,0,0,1
10.64,10.99,5.86,27.49,0.051214518,0,0,0,0,1
500,300,300,1100,-0.283915433,2,2,2,2,0
13.15,6.61,7.94,27.65,0.099916803,0,0,0,0,1
12.4,6.24,7.56,26.19,0.2472636427378446,0,0,0,0,1
11.82,5.45,7.24,24.51,-0.111851822,0,0,0,0,0
605,323,315,1243,-0.004715996,2,2,2,2,0
565,316,300,1181,0.028505096,2,2,2,2,1
23.89,12.77,8.05,44.78,-0.022180731,0,0,0,0,0
24.84,12.6,8.26,45.71,-0.408562629,0,0,0,0,0
19.63,11.04,8.24,38.91,0.7500000939395519,0,0,0,0,2
550,252,240,1042,0.3918261054329944,2,1,1,2,2
4.96,5.26,4.9,15.5,0.6711521250773393,0,0,0,0,2
5.42,5.24,5.49,16.16,0.2230994939677202,0,0,0,0,1
4.52,5.48,5.49,15.5,0.1774925456376571,0,0,0,0,1
515,323,315,1153,-0.130593136,2,2,2,2,0
4.47,5.43,6.16,16,0.2369306088938078,0,0,0,0,1
4.56,5.21,5.76,15.52,-0.27102805,0,0,0,0,0
4.41,4.02,4.91,13.34,0.5240821551381726,0,0,0,0,2
2.91,3,5.14,11.05,-0.003855458,0,0,0,0,0
576,409,310,1295,0.021173337,2,2,2,2,1
377,304,210,891,-0.020913045,1,1,2,1,0
4.66,7.04,6.03,17.84,0.3987005244138369,0,0,0,0,2
5.02,6.59,5.63,17.24,0.261444793,0,0,0,0,1
5,6.45,5.68,17.12,0.4365752530352404,0,0,0,0,2
5.2,6.72,5.69,17.6,-0.193090696,0,0,0,0,0
653,380,310,1343,0.1025299180285473,2,2,2,2,1
235,241,235,711,-0.479244445,1,1,1,1,0
555,310,300,1165,0.032366254,2,2,2,2,1
290,333,305,928,-0.07011707,1,2,2,1,0
694,403,316,1413,0.2038539301069137,2,2,2,2,1
4.07,9.2,5.14,18.68,0.1684888507654018,0,0,0,0,1
4.01,9.9,5.03,18.94,0.2097430334227049,0,0,0,0,1
4.05,9.23,4.84,18.13,0.4080946777674791,0,0,0,0,2
3.83,7.31,4.96,16.1,-0.280366166,0,0,0,0,0
225,242,305,772,0.056536127,1,2,1,1,1
3.81,4.28,5.86,13.94,-0.063656374,0,0,0,0,0
292,246,215,753,-0.272214424,1,1,1,1,0
513,271,300,1084,0.2868562937823259,2,2,1,2,1
10.69,8.66,7.05,26.4,-0.123062482,0,0,0,0,0
510,302,300,1112,-0.349158884,2,2,2,2,0
20.58,11.87,6.85,39.97,0.3106892692873207,0,0,0,0,2
20.69,12.42,6.75,39.87,0.949063649,0,0,0,0,2
18.17,11.86,5.53,35.56,0.5319383220583427,0,0,0,0,2
17.21,10.28,5.37,32.87,0.1858726897193435,0,0,0,0,1
5.87,9.29,6.11,21.26,0.7033197627349373,0,0,0,0,2
5.18,10.01,6,21.19,-0.006758753,0,0,0,0,0
