ticker,date,env,soc,gov,ret,mom
BXP,2019-12-31,0.005368642122978067,0.00886151309763693,0.005213631739572737,0.2341987858265623,0.009162909006821597
BXP,2020-12-31,0.005299100126566434,0.008724125297673566,0.004683791115632418,-0.3164859241259729,0.00909064631749335
BXP,2021-12-31,0.005132199335178515,0.008586737497710203,0.004069175991861648,0.2086043716349127,0.008989478552433807
BXP,2022-04-14,0.7399129334204927,0.7733101300604507,0.6397083757205833,0.0685248539307859,0.7726904844490692
C,2022-04-14,0.7162686546405375,0.6840080600842645,0.6354696507290607,-0.1675384104097964,0.009162909006821597
CAG,2019-12-31,0.013560689300268432,0.029194907492214688,0.005701085113597829,0.6196784610709621,0.009162909006821597
CAG,2020-12-31,0.013713681692374025,0.03210294925810588,0.005298406239403188,0.0586860823805314,0.009321886923343738
CAG,2021-12-31,0.015243605613429951,0.03455303169078586,0.0037936588674126826,-0.0618131842219935,0.010752688172043012
CAG,2022-04-14,0.01625891876103979,0.03462172559076754,0.003412173618175652,0.0476470274083735,0.010217944271013987
CAH,2019-12-31,0.0026425958636420535,0.017516944495328812,0.005022889114954222,0.1464189269166409,0.009162909006821597
CAH,2020-12-31,0.0031711150363704643,0.01584539292910789,0.004175144116649711,0.0518460977863068,0.009712105445716266
CAH,2021-12-31,0.00339364942488769,0.00936526836416926,0.0028611393692777208,-0.044357820012419,0.009394149612671984
CAH,2022-04-14,0.7023602553582108,0.6840080600842645,0.6609020006781959,0.2220496608125533,0.7354751994450225
CARR,2022-04-14,0.29206247652957623,0.5878366001099102,0.47227873855544256,-0.2233302428185738,0.009162909006821597
CAT,2022-04-14,0.3268334747353927,0.5443304634548451,0.491353001017294,0.0987797016672359,0.009162909006821597
CB,2019-12-31,0.0021140766909136426,0.02069976186114673,0.017633095964733808,0.2194281378880567,0.009162909006821597
CB,2020-12-31,0.0021697102880429493,0.021615680527569153,0.017527127839945745,-0.012383752704431,0.009220719158284194
CB,2021-12-31,0.002239252284454582,0.02289796666056054,0.016361478467277046,0.268105447800005,0.009235171696149843
CB,2022-04-14,0.0022809774823015615,0.023813885326982965,0.015916412343167177,0.0880148756825461,0.009206266620418544
CBOE,2020-12-31,0.004116886187568673,0.01822678146180619,0.013288402848423194,-0.2220550950653167,0.009162909006821597
CBOE,2021-12-31,0.003560550216275609,0.01353269829639128,0.012334689725330621,0.40381090271614,0.008584807492195628
CBOE,2022-04-14,0.003949985396180754,0.014082249496244731,0.012779755849440487,-0.0966971869860137,0.009567580067059775
CBRE,2019-12-31,0.0013491147303856799,0.0034117970324235207,0.0009749067480501865,0.553612160461733,0.009162909006821597
CBRE,2020-12-31,0.0022948858815838883,0.0033431031324418392,0.0008901322482197354,0.0132471676027564,0.010145681581685743
CBRE,2021-12-31,0.0029485806478532386,0.003251511265799597,0.0007417768735164456,0.7295186361697544,0.00984217828650711
CBRE,2022-04-14,0.0017524583095731511,0.0027477559992672646,0.00016954899966090215,-0.2175583104480563,0.007919990750375765
CCI,2022-04-14,0.6954060557170475,0.6840080600842645,0.4171753136656494,-0.0780861594460239,0.009162909006821597
CCL,2019-12-31,0.01153006300504875,0.015753801062465652,0.001017293997965412,0.0386187833547309,0.009162909006821597
CCL,2020-12-31,0.011794322591412955,0.017677230261952736,0.0011868429976263143,-0.5781888901451838,0.00943750722626893
CCL,2021-12-31,0.012754002141893489,0.018730536728338527,0.0014623601220752798,-0.0728110538320543,0.01016013411955139
CCL,2022-04-14,0.01418656726797313,0.0194403736948159,0.001398779247202441,-0.048638133559123,0.010651520406983467
CDAY,2022-04-14,0.7371312535640273,0.8649019967026929,0.6714988131570023,-0.4205294594315288,0.009162909006821597
CDNS,2019-12-31,0.0018915423023964173,0.022027843927459243,0.005955408613089182,0.6262602140416262,0.009162909006821597
CDNS,2020-12-31,0.0015994659174675585,0.02113482322769738,0.004980501865038996,0.9440010271091356,0.008859405711642964
CDNS,2021-12-31,0.0015716491189029054,0.019623557428100385,0.004471854866056289,0.361312052994335,0.009134003931090299
CDNS,2022-04-14,0.6954060557170475,0.702326433412713,0.6185147507629705,-0.1932356260196254,0.7301422129725978
CDW,2022-04-14,0.31292507545306614,0.4756365634731636,0.4171753136656494,-0.1576409647145492,0.009162909006821597
CE,2022-04-14,0.6954060557170475,0.7275141967393296,0.6291115632417769,-0.1404973154829284,0.009162909006821597
CF,2022-04-14,0.730177053922864,0.700036636746657,0.6503051881993896,0.5153760452158354,0.009162909006821597
CFG,2019-12-31,0.0027955882557476465,0.03043139769188496,0.01858680908782638,0.3798844780579098,0.009162909006821597
CFG,2020-12-31,0.002475695072254134,0.02921780545887525,0.018205323838589353,-0.1218075331650063,0.008830500635911665
CFG,2021-12-31,0.002586962266512747,0.025668620626488368,0.0169548999660902,0.3117712215302299,0.00927852930974679
