environment_score,social_score,governance_score,esg_momentum,Annual_Return
998.8,733.4,795.0,-36.6,-0.10110523697930163
998.8,730.8,806.8,9.2,0.13833623981297885
938.0,785.8,860.0,24.0,3.1566029374943447
943.4,785.0,871.2,15.8,3.9051776737730295
689.4,843.2,867.4,82.2,-0.23839439903551965
626.4,803.4,859.4,-110.8,-0.5396160431161016
651.0,805.8,845.4,13.0,-0.14171030531956286
817.0,822.8,896.6,18.6,-0.4358347481011749
812.0,843.6,904.4,23.6,-0.4353693949723869
884.2,868.8,850.4,-3.2,-0.019429880503329087
895.0,887.6,852.8,32.0,0.22233858438781484
897.2,903.6,871.2,36.6,0.12041892341218986
988.6,876.4,874.6,20.2,-0.43664921596021067
991.2,883.2,878.6,13.4,-0.4885398413036243
867.2,752.6,930.2,1.8,-0.7161527824812796
890.2,814.0,927.8,82.0,-0.6587550789901453
851.0,816.2,929.0,-35.8,-0.5685863508340706
898.2,773.8,854.0,34.2,2.997673278567812
918.0,810.8,860.2,63.0,3.9341478923694133
978.8,755.6,851.2,-5.8,-0.07597439222480391
977.8,810.0,885.2,87.4,0.042117543553909384
622.6,763.8,798.0,36.6,0.4127981920771901
618.8,770.8,800.0,5.2,-0.014426968167565436
577.0,798.6,798.8,-15.2,0.38755097535812066
997.2,793.2,831.2,7.6,0.23013388193028902
997.6,798.4,828.0,2.4,0.40919147176304815
997.4,746.6,838.0,-42.0,0.9121583703558236
933.0,703.8,828.6,119.8,1.5972077210178424
972.6,835.4,877.4,220.0,2.6737640605582356
931.8,892.4,889.2,72.8,0.3728912645412258
932.6,898.6,889.6,7.4,0.5740546608594149
935.4,926.0,878.0,18.6,1.0371146307527588
932.0,829.2,883.6,36.4,0.24421182309303152
932.0,851.8,914.6,53.6,0.6424665876616998
895.6,704.2,866.8,17.4,3.415357922825383
845.6,666.4,863.8,-90.8,5.4365327554557865
684.0,772.6,872.8,9.0,0.0510762018124772
692.2,792.0,891.2,46.0,0.043746390499435656
710.2,828.6,908.2,71.6,0.20407215325677805
654.8,801.6,867.6,17.0,-0.6999418052917104
663.0,827.8,848.8,15.6,-0.8123327547133787
876.0,644.2,787.2,145.0,1.5524143418832315
881.4,739.2,835.4,148.6,3.1621873518868115
888.6,771.4,834.4,38.4,5.059220436074722
966.2,771.8,845.6,-13.6,-0.5776614249199226
973.2,784.2,849.2,23.0,-0.40081440572988875
981.4,813.4,865.8,54.0,-0.2228038927231166
733.6,804.0,858.8,40.2,1.213263553815635
793.4,828.0,869.2,94.2,1.4934264712617888
810.4,831.2,876.6,27.6,1.6739966254297811
726.8,755.8,864.0,125.4,-0.13461314846503897
778.6,768.2,880.6,80.8,-0.29621868730037226
787.2,780.2,882.8,22.8,-0.21454328637995376
752.0,875.2,848.8,30.0,-0.08470039602485407
763.6,891.0,855.2,33.8,0.39185574805305445
503.2,748.0,834.8,-19.8,-0.02105872744885536
607.4,779.2,835.2,135.8,-0.4198952602755153
891.6,895.2,890.2,-20.6,5.7405467848594265
909.6,890.4,890.2,13.2,7.057708227760443
908.8,895.8,884.8,10.6,-0.07190227491916155
911.8,919.6,901.8,43.8,-0.3310063753294874
941.8,940.0,897.2,45.8,0.05945317965482488
899.6,868.2,887.4,9.8,0.11541601107642621
900.0,871.0,886.4,2.2,0.38161726834127596
896.0,865.6,886.2,-9.6,0.9623037776035663
919.8,802.0,899.4,-10.6,-0.08842348748914058
919.0,815.4,903.2,16.4,0.07399651932157515
923.4,853.8,900.8,40.4,0.5216986380591139
586.2,751.6,865.0,-11.2,-0.8464223353297048
636.6,762.8,889.4,86.0,-0.6842350162526678
655.8,794.4,892.6,54.0,-0.5173938218505079
896.4,799.8,880.0,1.6,1.9457825641028137
894.2,813.6,883.2,14.8,2.0081442347276313
974.8,750.2,890.6,-16.0,1.8243165632829028
974.6,777.2,885.4,7.6,0.3249563855860032
955.6,740.4,779.6,7.6,-0.6390924774779763
959.6,755.6,795.6,35.2,-0.6831878940514611
972.2,836.0,817.0,114.4,-0.4802792349604615
633.2,741.0,860.6,-45.6,0.1620709807366666
642.8,729.2,853.8,-9.0,0.31611409789584644
659.4,788.6,852.2,74.4,0.2815591088860417
925.6,902.0,861.2,29.2,0.45759166079877334
955.2,911.2,878.4,56.0,-0.042815595585661004
975.4,756.2,885.0,38.0,2.875741790820389
799.8,708.0,860.8,17.4,-0.24496340113017312
689.6,716.8,887.4,-74.8,-0.19941826641333
854.0,895.2,862.6,11.8,-0.5673065741743462
