,ticker_start,esg_score_year_start,environment_score_start,social_score_start,governance_score_start,total_score_start,Date_start,High_start,Low_start,Open_start,Close_start,Volume_start,Adj Close_start,MarketData_Year_start,environment_score_end,social_score_end,governance_score_end,total_score_end,Date_end,High_end,Low_end,Open_end,Close_end,Volume_end,Adj Close_end,MarketData_Year_end,Annual_Return
344,DPZ,2022,205.0,205.0,200.0,610.0,2022-01-03,564.72998046875,541.219970703125,562.780029296875,553.219970703125,360300,551.644958496093,2022,7.72,16.68,6.81,31.21,2022-04-14,393.140014648437,386.899993896484,390.940002441406,387.239990234375,256000,387.239990234375,2022,-0.31191589950662585
345,DRE,2022,540.0,313.0,300.0,1153.0,2022-01-03,65.8000030517578,63.1100006103515,65.6399993896484,64.5599975585937,1397600,64.2286148071289,2022,540.0,313.0,300.0,1153.0,2022-04-14,59.25,58.1800003051757,59.1300010681152,58.25,1074800,58.25,2022,-0.11258378212011101
346,DRI,2022,515.0,309.0,300.0,1124.0,2022-01-03,151.479995727539,146.039993286132,150.199996948242,148.779998779296,1106800,146.405654907226,2022,515.0,309.0,300.0,1124.0,2022-04-14,133.699996948242,131.240005493164,131.699996948242,131.449996948242,842200,131.449996948242,2022,-0.12483355779601737
347,DTE,2022,592.0,313.0,210.0,1115.0,2022-01-03,119.75,117.769996643066,119.75,119.180000305175,713600,118.354568481445,2022,592.0,313.0,210.0,1115.0,2022-04-14,138.02000427246,136.490005493164,136.490005493164,137.169998168945,817200,137.169998168945,2022,0.14546971331060543
348,DUK,2019,16.23,10.56,7.19,33.99,2019-01-02,86.1900024414062,84.3000030517578,86.1100006103515,84.6999969482421,2857400,74.063232421875,2019,16.23,10.56,7.19,33.99,2019-12-31,91.2399978637695,90.620002746582,90.8899993896484,91.2099990844726,2540700,83.2260131835937,2019,0.059226552525514786
349,DUK,2020,15.8,11.37,6.36,33.54,2020-01-02,91.7799987792968,90.0299987792968,91.2799987792968,90.3399963378906,3921800,82.4321670532226,2020,15.8,11.37,6.36,33.54,2020-12-31,91.6399993896484,90.2699966430664,90.6100006103515,91.5599975585937,1638800,87.1971130371093,2020,0.0030674713304268326
350,DUK,2021,15.39,10.4,5.44,31.24,2021-01-04,92.1299972534179,89.1999969482421,91.7799987792968,89.7099990844726,2683700,85.4352722167968,2021,15.39,10.4,5.44,31.24,2021-12-31,105.230003356933,104.0,104.720001220703,104.900001525878,1945700,103.86164855957,2021,0.14295056571237094
351,DUK,2022,604.0,362.0,328.0,1294.0,2022-01-03,104.910003662109,103.019996643066,104.910003662109,103.489997863769,3272700,102.465606689453,2022,14.49,8.57,4.59,27.66,2022-04-14,115.519996643066,114.480003356933,115.190002441406,114.849998474121,2719300,114.849998474121,2022,0.09474782637532285
352,DVA,2022,260.0,332.0,300.0,892.0,2022-01-03,115.58999633789,113.099998474121,114.069999694824,115.430000305175,630600,115.430000305175,2022,260.0,332.0,300.0,892.0,2022-04-14,123.190002441406,121.199996948242,121.199996948242,121.449996948242,501000,121.449996948242,2022,0.06469709190113085
353,DVN,2019,17.33,11.07,6.25,34.52,2019-01-02,23.4099998474121,21.7600002288818,21.9400005340576,23.2099990844726,6788900,19.9601917266845,2019,17.33,11.07,6.25,34.52,2019-12-31,26.079999923706,25.1499996185302,25.2800006866455,25.9699993133544,3391300,22.6425228118896,2019,0.18368271108476084
354,DVN,2020,17.26,9.92,6.62,33.79,2020-01-02,26.2800006866455,25.6299991607666,26.2099990844726,25.7900009155273,5091400,22.4855861663818,2020,17.26,9.92,6.62,33.79,2020-12-31,16.2099990844726,15.6499996185302,15.9899997711181,15.8100004196167,8597400,14.6414232254028,2020,-0.39679507928777824
355,DVN,2021,16.85,8.61,7.56,33.01,2021-01-04,16.4300003051757,15.7100000381469,16.0,16.1299991607666,10303800,14.9377679824829,2021,16.85,8.61,7.56,33.01,2021-12-31,44.310001373291,43.310001373291,43.5,44.0499992370605,4895700,43.3227424621582,2021,1.753124952316281
356,DVN,2022,570.0,301.0,300.0,1171.0,2022-01-03,45.7700004577636,43.9700012207031,44.1399993896484,45.5699996948242,10232500,44.8176460266113,2022,570.0,301.0,300.0,1171.0,2022-04-14,64.0500030517578,62.5299987792968,63.2599983215332,62.560001373291,8609900,62.560001373291,2022,0.4173086143712637
357,DXC,2022,505.0,326.0,305.0,1136.0,2022-01-03,33.2799987792968,32.2900009155273,32.4000015258789,33.2299995422363,1479000,33.2299995422363,2022,505.0,326.0,305.0,1136.0,2022-04-14,31.7299995422363,31.0300006866455,31.2000007629394,31.25,1267400,31.25,2022,-0.035493872583936666
358,DXCM,2019,6.46,22.43,12.99,41.91,2019-01-02,118.370002746582,114.0,117.01000213623,115.180000305175,1152400,115.180000305175,2019,6.46,22.43,12.99,41.91,2019-12-31,220.690002441406,216.130004882812,216.479995727539,218.740005493164,513900,218.740005493164,2019,0.8694128835113932
359,DXCM,2020,6.2,17.79,10.64,34.64,2020-01-02,222.630004882812,213.690002441406,218.559997558593,219.380004882812,852600,219.380004882812,2020,6.2,17.79,10.64,34.64,2020-12-31,370.640014648437,361.549987792968,364.950012207031,369.720001220703,808200,369.720001220703,2020,0.6916178868531787
